key,counts,ststa_ucount,ensta_ucount,br,ut_sub,ut_cu,counts1,spd_avg,spd_max,visb_avg,visb_max,temp_avg,temp_max,prcp_avg,prcp_max
2016 12 28,23601,594,595,1976.6459116868646,21329,1928,34,6.906060606060603,9.3,16070.454545454546,16093.0,5.83030303030303,13.3,0.0,0.0
2017 1 1,16009,588,590,1976.9744731610338,12387,3313,25,5.141666666666667,8.8,16093.0,16093.0,7.483333333333333,10.6,0.0,0.0
2017 1 17,18646,596,592,1976.7078762076305,18451,170,37,3.258333333333331,6.2,12013.694444444445,16093.0,4.586111111111113,5.6,0.6333333333333334,4.8
2017 5 10,58454,598,600,1978.0725714285713,54034,4420,33,2.7718749999999996,5.1,16069.75,16093.0,12.340624999999996,15.6,0.0,0.0
2014 1 30,12158,324,322,1974.6457451224574,12045,113,33,4.006249999999998,9.3,16069.75,16093.0,-5.946875000000002,-3.3,0.052000000000000005,1.3
2017 5 5,24009,596,595,1978.8818292365152,23037,972,57,7.126785714285719,12.4,9150.92857142857,16093.0,13.344642857142858,16.1,2.3023255813953494,17.3
2017 8 6,56476,612,616,1980.937074474265,40482,15994,33,5.731249999999997,7.2,16069.75,16093.0,22.77187499999999,25.0,0.276,6.9
2017 11 5,34943,698,707,1980.6003822264693,31011,3932,44,3.8813953488372066,5.7,14219.418604651162,16093.0,13.06511627906977,16.1,0.09444444444444444,0.8
2014 5 25,25637,323,319,1976.9827070368597,16713,8924,38,4.318918918918918,8.2,15703.864864864865,16093.0,17.737837837837844,25.0,0.11379310344827585,1.3
2016 10 2,41023,586,588,1979.404895476556,33554,6777,38,3.0324324324324308,7.2,14552.351351351352,16093.0,16.11081081081081,18.3,0.028124999999999997,0.3
2017 8 17,66656,614,616,1979.3199316930832,59653,7003,33,3.656249999999999,5.7,16069.75,16093.0,23.937500000000004,26.1,0.0,0.0
2014 2 16,3003,302,308,1976.6632373113855,2916,87,40,8.166666666666663,12.9,14394.615384615385,16093.0,-2.0897435897435903,1.0,0.27714285714285714,3.0
2014 7 12,28718,325,324,1977.3982308913585,22048,6670,36,2.7914285714285723,8.2,12410.857142857143,16093.0,22.062857142857148,26.7,0.0,0.0
2017 2 5,20059,593,594,1978.6575601555112,19093,839,33,6.0624999999999964,10.8,16069.75,16093.0,1.9281249999999999,5.0,0.0,0.0
2017 12 18,40168,731,734,1977.907519223822,39075,1093,40,3.033333333333332,5.7,15259.948717948719,16093.0,3.0333333333333323,8.3,0.05925925925925926,0.5
2014 4 24,28107,325,325,1975.422820318423,26380,1727,33,10.278125000000003,13.9,16069.75,16093.0,10.949999999999998,17.2,0.0,0.0
2016 10 21,40873,593,594,1978.25519280139,38683,1974,50,3.623404255319146,9.3,7353.297872340426,16093.0,19.825531914893617,21.7,1.4777777777777779,20.0
2017 3 22,26927,599,602,1977.439042916825,26396,410,33,9.043750000000003,14.4,16069.75,16093.0,5.609375000000001,12.8,0.0,0.0
2017 8 23,65070,613,613,1979.473412977278,59166,5904,39,5.873684210526312,11.8,15639.657894736842,16093.0,25.336842105263155,28.9,0.565625,6.0
2014 4 11,26798,325,325,1975.2938761006042,25327,1471,33,5.237499999999997,10.3,16069.75,16093.0,12.628125,20.0,0.0,0.0
2014 5 19,31692,322,321,1975.4286109478198,28920,2772,33,5.821874999999999,9.8,16069.75,16093.0,16.587500000000006,22.8,0.0,0.0
2017 8 31,64881,608,610,1979.5147618001454,58619,6262,33,5.762499999999996,7.7,16069.75,16093.0,23.328125,29.4,0.05,1.3
2017 10 2,65511,674,688,1979.2683148668762,60226,5285,33,3.121874999999999,4.6,16069.75,16093.0,16.43125,22.2,0.0,0.0
2016 11 18,53390,590,592,1977.7450025062656,49786,3034,33,3.7749999999999977,5.7,16069.75,16093.0,12.165625000000002,19.4,0.0,0.0
2017 10 23,69274,727,730,1979.2082973483032,62500,6774,35,3.9470588235294124,8.2,15870.323529411764,16093.0,17.411764705882355,22.2,0.0,0.0
2014 3 24,13598,331,331,1974.6762019775078,13249,349,33,6.634374999999996,10.8,16069.75,16093.0,-1.5874999999999992,2.8,0.0,0.0
2014 8 26,34519,324,322,1976.3036950034918,31499,3020,36,2.4628571428571426,5.1,16071.742857142857,16093.0,24.17714285714287,27.8,0.0,0.0
2017 8 22,60541,611,612,1979.5426558265583,54820,5721,36,5.520000000000001,11.3,14980.8,16093.0,25.565714285714282,29.4,0.0,0.0
2017 12 3,33728,721,724,1979.776892818829,30543,3185,35,2.4382352941176464,3.6,16012.29411764706,16093.0,6.202941176470589,9.0,0.0,0.0
2014 4 16,20082,325,325,1975.489709347997,19095,987,39,8.765789473684212,11.3,14518.026315789473,16093.0,4.344736842105265,9.4,1.2305555555555552,16.5
2017 3 23,29885,602,603,1977.2220411842197,28920,796,33,6.478124999999996,12.4,16069.75,16093.0,-0.3499999999999991,6.1,0.0,0.0
2016 10 12,57690,599,601,1978.1290787403068,52882,4402,34,2.639393939393939,4.1,16070.454545454546,16093.0,13.86969696969697,18.9,0.0,0.0
2014 2 7,8495,318,318,1974.8818084727661,8427,68,33,5.496874999999998,7.7,16069.75,16093.0,-2.1718749999999987,0.0,0.0,0.0
2014 2 10,6846,321,317,1975.0621693121693,6804,42,39,6.439473684210525,9.3,12318.605263157895,16093.0,-3.231578947368421,-1.7,0.528125,3.3
